,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9385,0.3225806451612903,0.7352941176470589,0.4484304932735426,0.928723663378395
Decision Tree,0.97,0.5425531914893617,0.75,0.6296296296296297,0.8025819023261478
Random Forest,0.982,0.7,0.8235294117647058,0.7567567567567568,0.9696557971014493
Gradient Boosting,0.983,0.7073170731707317,0.8529411764705882,0.7733333333333333,0.9807689380099867
XGBoost,0.985,0.7638888888888888,0.8088235294117647,0.7857142857142857,0.9763198757763976
SVM,0.9685,0.5233644859813084,0.8235294117647058,0.64,0.9713798562903423
